document	page	arm	inkOut	outPx	lineN	linePx	label	kind	r1class	r1pct	r2verdict	r2kind	r2pct	adjudicated	note
document/_1939_Former students to Board re Merriam_.pdf	p7	subbar	0.0001	39	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter with bleed-through of typing from the reverse
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p5	subbar	0.0081	1540	4	1491	loses	type	none	0	none	-	0	none	Three-column magazine text continuing an interview
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p10	subbar	0.0000	2	0	0	nothing	-	none	0	none	-	0	none	Dense text page with a small red ink margin annotation
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p10	subbar	0.0001	23	0	0	nothing	-	none	0	none	-	0	none	Dense text page of an academic article
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p5	subbar	0.0353	5892	4	3898	loses	type	none	0	none	-	0	none	Two-column journal page with a ruled data table (Table 2)
journalArticle/Scott_TK_The Scientific Selection of Salesmen.pdf	p3	subbar	0.0412	7462	6	1796	loses	type	none	0	mark	device	1	device	Digitized by Google wordmark in the scan footer
document/Atkinson_1939_Atkinson on firings_.pdf	p3	subbar	0.0388	19587	3	8201	loses	type+hand	none	0	none	-	0	none	Typed resignation letter, body text plus ink signature
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p5	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Academic journal page, plain running text
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p37	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Academic book page, running text with footnotes
document/1881 - Harry Wilcox.pdf	p2	control	-	-	-	-	-	-	drawing	20	mark	handdrawn	12	drawing	pen-and-ink bird flourish with ribbon banners, plus a pressed flower
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p10	subbar	0.0441	15269	0	0	nothing	-	none	0	mark	handdrawn	3	annot	hand-drawn braces enclosing paragraphs plus three margin X marks
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p3	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Academic journal page, plain running text
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p5	subbar	0.0405	14665	0	0	nothing	-	none	0	mark	handdrawn	1	annot	small pen checkmark (reader flagged it as doubtful)
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p24	subbar	0.0015	824	0	0	nothing	-	none	0	mark	handdrawn	1	annot	backslash-shaped pen caret (reader flagged it as doubtful)
document/_1939_Former students to Board re Merriam_.pdf	p2	subbar	0.0000	0	0	0	loses	hand	drawing	2	mark	device	3	device	Great Northern Railway roundel with mountain-goat mascot on the letterhead
document/Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	p5	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Printed book page, running text under a subheading
document/Ford_1941_Speech_.pdf	p3	subbar	0.0107	2677	0	0	nothing	-	none	0	mark	handdrawn	3	annot	hand-drawn ink bracket enclosing two paragraphs
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p13	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Printed journal page, body text only
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p9	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Printed journal page with footnote, no figures
thesis/Doermann_1967_The market for college education in the United States.pdf	p21	subbar	0.0165	19778	0	0	loses	hand	none	0	none	-	0	none	Typewritten manuscript page, text only
document/Ford_1941_Speech_.pdf	p2	subbar	0.0023	629	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter with handwritten corrections and a stamp
book/Ibson_2006_Picturing men.pdf	p162	control	-	-	-	-	-	-	plate	70	mark	photo	50	plate	halftone book plate, "Figure 107"
document/_1939_Former students to Board re Merriam_.pdf	p14	subbar	0.0000	18	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter ("COPY") with signature
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p3	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Printed journal page, body text only, no figures
document/_1939_Former students to Board re Merriam_.pdf	p16	subbar	0.0000	3	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter on letterhead, text only
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p12	subbar	0.0000	9	0	0	nothing	-	none	0	none	-	0	none	Printed book page with faint show-through from the reverse
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p25	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Dense typeset economics-journal text
document/_1973_Committee Against Racism_.pdf	p1	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Web-page capture (archive metadata plus running text)
book/1954 - Why.pdf	p6	control	-	-	-	-	-	-	drawing	4	mark	drawn	6	drawing	red-and-black line-drawing cartoon of a man toppling a stack of books
document/Herbert Marks papers.pdf	p11	subbar	0.0148	1314	1	423	loses	type	none	0	none	-	0	none	Typewritten archival box-list, pure text
book/Guilford_Psychometric Methods.pdf	p5	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Journal page "RATING SCALES", body text plus footnote
book/Ibson_2006_Picturing men.pdf	p122	control	-	-	-	-	-	-	plate	40	mark	photo	55	plate	sepia studio photograph of a five-man track team, with caption
document/_1973_Committee Against Racism_.pdf	p3	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Web-page capture, continuous running text
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p25	subbar	0.0014	150	0	0	degraded	rule-blurred	none	0	none	-	0	none	Accounting-journal text page with a footnote
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p3	subbar	0.0104	687	0	0	nothing	-	none	0	none	-	0	none	Typewritten speech on stained paper with handwritten corrections
document/1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	p4	subbar	0.0287	7569	0	0	nothing	-	none	0	mark	photo	100	camera	the whole page is a colour photograph of a memo lying on a desk
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p8	subbar	0.0015	150	0	0	degraded	rule-blurred	none	0	none	-	0	none	Typeset journal page, running text only
document/_1939_Former students to Board re Merriam_.pdf	p3	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Handwritten personal letter, cursive text only
document/Ford_1941_Speech_.pdf	p4	subbar	0.0007	167	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter page with a library ownership stamp
book/Guilford_Psychometric Methods.pdf	p1	subbar	0.0031	601	0	0	nothing	-	none	0	none	-	0	none	Typeset journal page ("Rating Scales"), running text only
document/Atkinson_1939_Atkinson on firings_.pdf	p1	subbar	0.0000	2	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter/report page with a library stamp
document/Ford_1941_Speech_.pdf	p5	subbar	0.0022	612	0	0	nothing	-	none	0	none	-	0	none	Typewritten report page with a library stamp
book/1954 - Why.pdf	p4	control	-	-	-	-	-	-	drawing	3	mark	drawn	8	drawing	line-drawing cartoon of a man pulled from a bookshelf
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p22	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Typeset book page, running text only
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p23	subbar	0.0014	149	0	0	degraded	rule-blurred	none	0	none	-	0	none	Typeset journal page with a footnote, text only
document/Ford_1941_Speech_.pdf	p1	subbar	0.0051	1422	0	0	loses	hand	none	0	none	-	0	none	Typewritten manuscript page with pencil interlinear corrections
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p16	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Journal prose page, pure typeset text
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p2	control	-	-	-	-	-	-	none	0	none	-	0	none	Photographed copyright page; show-through and a thumb
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p28	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Printed webpage document, typeset text with underlined links
document/_1973_Committee Against Racism_.pdf	p2	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Journal prose page with footnote, pure typeset text
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p7	subbar	0.0370	12974	0	0	nothing	-	none	0	mark	handdrawn	4	annot	red X plus freehand brackets enclosing paragraphs
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p20	subbar	0.0022	1294	0	0	degraded	hand-mark-degraded	none	0	none	-	0	none	Book prose page with a hand-drawn pencil bracket in the margin
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p7	subbar	0.0137	2225	3	1897	loses	type	none	0	none	-	0	none	Journal page with two numbered mathematical equations
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p2	subbar	0.0008	155	1	147	loses	type	none	0	none	-	0	none	Journal prose page, pure typeset text
document/Ford_1941_Speech_.pdf	p6	subbar	0.0056	945	1	446	loses	type	none	0	none	-	0	none	Photographed typewritten letter with a circular library stamp
newspaperArticle/Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	p1	subbar	0.0023	2708	1	1780	loses	type	none	0	none	-	0	none	Newspaper opinion piece, all-text multi-column layout
book/Ibson_2006_Picturing men.pdf	p61	control	-	-	-	-	-	-	plate	55	mark	photo	55	plate	real-photo postcard studio portrait of two men
document/Herbert Marks papers.pdf	p12	subbar	0.0041	437	2	386	nothing	-	none	0	none	-	0	none	Typewritten inventory list of archival box contents
document/_1939_Former students to Board re Merriam_.pdf	p6	subbar	0.0069	2602	1	2259	loses	hand	none	0	none	-	0	none	Typewritten letter with a handwritten pen signature
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p4	subbar	0.0001	5	0	0	nothing	-	none	0	none	-	0	none	Handwritten commencement address on foxed paper
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p6	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Typeset book introduction page, text only
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p2	subbar	0.0005	30	0	0	nothing	-	none	0	none	-	0	none	Typewritten letter text on aged yellowed paper
newspaperArticle/Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	p1	subbar	0.0210	4094	0	0	nothing	-	none	0	none	-	0	none	Newspaper page with a bordered "Blocked due to copyright" notice
magazineArticle/Merriam_1913_Clutter of Things_The Independent.pdf	p2	subbar	0.0063	5336	5	4256	loses	type	none	0	none	-	0	none	Two-column typeset magazine text with highlighter annotation
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p3	subbar	0.0450	15299	2	7533	loses	type	none	0	none	-	0	none	Photographed open book spread, text with highlighting
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p12	subbar	0.0410	12008	0	0	nothing	-	none	0	none	-	0	none	Photographed open book spread of endnotes/bibliography
