doc	pages	embeddedText	hasDigitalText	digitalPages	first3
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks.pdf	24	yes	no	0	
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State.pdf	11	yes	no	0	
Lowell - The Government of Dependencies.pdf	14	yes	no	0	
McWilliams_1933_Provincialism_The Frontier and Midland.pdf	15	yes	no	0	
Merriam_1920_Daughter of Pan_The Montanan (The Frontier).pdf	1	no	no	0	
Price_1958_The Small Business Tax Revision of 1958.pdf	37	yes	no	1	p1
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf	55	yes	no	0	
Riesman_1949_Men, Women, and Marriage_Nation.pdf	3	yes	no	0	
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf	15	yes	no	0	
Riesman_1976_Thoughts on the Graduate Experience_Change.pdf	7	yes	no	0	
Ripley_1889_The Teaching of the English Language and Literature_Education.pdf	16	yes	no	0	
Robin_Stephens_1996_Against the Grain_Social Text.pdf	32	yes	no	1	p1
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	17	yes	no	1	p17
Scott_TK_The Scientific Selection of Salesmen.pdf	13	yes	no	0	
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	yes	no	25	p1;p2;p4
Wells_2015_A Long View of Shareholder Power.pdf	67	yes	no	1	p1
Wilson_1975_Review of The Welfare State and Equality_Journal of Economic Literature.pdf	4	yes	no	1	p1
Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	32	yes	no	1	p1
_1985_Issue 2_New Perspectives.pdf	29	yes	no	1	p1
oster - Engagement of Anne Foster To Tucson Man Announced.pdf	1	yes	no	0	
1947_Corporation Tax Study Due By House Body.pdf	4	yes	no	0	
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org.pdf	3	yes	no	0	
Black_0000_The Scandal of Educational Testing.pdf	3	yes	no	0	
Bullitt_1959_The Future American Class System_Horizon.pdf	8	yes	no	0	
Davis_2005_Optimism of the Will_Nation.pdf	5	yes	yes	3	p2;p3;p4
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	13	yes	no	0	
Glazer_2002_Higher Ed_New Republic.pdf	2	yes	no	0	
Glazer_2003_Kith and Kin_Commentary; New York.pdf	3	yes	no	0	
HarpersMagazine-1938-05-0019577.pdf	10	yes	no	0	
Kelly_2014_Orders of Magnitude_TLS.pdf	3	yes	yes	2	p1;p2
Kristol_1960_High, Low, and Modern_Encounter.pdf	10	yes	no	0	
Lasky et al. - 1949 - Letters from readers.pdf	3	yes	no	0	
Lemann, Nicholas_1977_Success In America_Washington Monthly.pdf	5	yes	no	0	
Lipset_Luethy_1955_European traditions and American sociology_Commentary (pre-1986); New York.pdf	5	yes	no	0	
Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York.pdf	4	yes	no	0	
Marth_1982_Why Unions Lose At Many Companies_Nation's Business (pre-1986); Washington.pdf	2	yes	no	0	
Merriam_1913_Clutter of Things_The Independent.pdf	2	yes	no	0	
Part Two.pdf	35	yes	no	0	
Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	4	yes	no	0	
Sherman_1986_elite institutions_The Public Interest; New York.pdf	6	yes	no	0	
Stone_1965_England’s Revolution_The New York Review of Books.pdf	4	yes	no	0	
_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	6	yes	no	1	p6
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	1	yes	no	0	
_1977_What We're About_Washington Monthly.pdf	3	yes	no	0	
1976_Results of Trading in Stock Options.pdf	1	yes	no	0	
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y..pdf	1	yes	no	0	
Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	1	yes	no	0	
Glazer_2003_Neoconservatives, Then and Now_New York Times.pdf	1	yes	no	0	
JOURNAL_1969_Giving the Boss a Raise_Wall Street Journal (1923 - Current file); New York, N.Y..pdf	1	yes	no	0	
Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	1	yes	no	0	
Zipkin_2000_Management.pdf	2	yes	no	0	
_1926_Clapp defends Cox_Billings Gazette.pdf	1	yes	no	0	
_1926_Cox resigns, following most severe public criticism that ever has been_Anaconda Standard.pdf	1	yes	no	0	
_1926_English dept summer school_Havre Daily News Promoter.pdf	1	yes	no	0	
_1928_Creative writing a featured course at Summer School_Helena Daily Independent.pdf	1	yes	no	0	
_1931_Again, press most excited about Frontier's history section_Helena Daily Independent.pdf	1	yes	no	0	
_1939_Kalispell resident offering private creative writing courses, out of her home_Kalispell Daily Inter Lake.pdf	1	yes	no	0	
_1941_Fiedler's hiring at UM announced_Helena Independent.pdf	1	yes	no	0	
_1950_Comic_Independent Record.pdf	1	yes	no	0	
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	4	yes	no	1	p1
___ 2.pdf	1	yes	no	0	
___ 3.pdf	1	yes	no	0	
___ 4.pdf	1	yes	no	0	
___ 5.pdf	1	yes	no	0	
___.pdf	1	yes	no	0	
1957_Allied Chemical & Dye Corporation Annual Report -- 1957.pdf	35	yes	no	0	
1958_CiT Financial Corporation Annual Report -- 1958.pdf	41	yes	no	0	
1958_E.pdf	50	yes	no	1	p1
1958_General Foods Corporation Annual Report -- 1958.pdf	28	yes	no	0	
1958_The Anaconda Company Annual Report -- 1958.pdf	34	yes	no	0	
1958_The Goodyear Tire & Rubber Company Annual Report -- 1958.pdf	43	yes	no	0	
AI 2027.pdf	71	yes	no	32	p5;p7;p19
Autor et al_2020_Extending the Race between Education and Technology.pdf	20	yes	no	0	
Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research.pdf	80	yes	no	0	
Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research.pdf	63	yes	no	0	
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ.pdf	66	yes	no	0	
Temin_1997_The American Business Elite in Historical Perspective.pdf	49	yes	no	0	
_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports.pdf	24	yes	no	0	
_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports.pdf	25	yes	no	0	
_1958_Small Business Investment Act_.pdf	28	yes	no	0	
_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports.pdf	38	yes	no	0	
_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports.pdf	34	yes	no	0	
_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports.pdf	30	yes	no	0	
_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports.pdf	22	yes	no	0	
_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports.pdf	19	yes	no	0	
_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports.pdf	39	yes	no	0	
w7787 2.pdf	30	yes	no	0	
w7787.pdf	30	yes	no	0	
Anderson_1997_Legacy of the American Frontier_California State University, Fresno.pdf	160	yes	no	0	
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf	132	yes	no	0	
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm.pdf	403	yes	no	0	
CAMFIELD_Psychologists at War.pdf	334	yes	no	0	
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State.pdf	398	yes	no	0	
Clark_The graphic rating scale at Northwestern University.pdf	110	yes	no	0	
Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972.pdf	375	yes	no	0	
Corson_Current practices in student guidance and personnel administration in liberal.pdf	234	yes	no	0	
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa.pdf	316	yes	no	0	
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas.pdf	280	yes	no	0	
Doermann_1967_The market for college education in the United States.pdf	27	yes	no	0	
Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II.pdf	240	yes	no	0	
ERICKSON - 1952 - The Taxation of Investment Companies in the United States.pdf	679	yes	no	0	
Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po.pdf	484	yes	no	0	
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf	212	yes	no	0	
GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities.pdf	221	yes	no	0	
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling.pdf	328	yes	no	0	
Ho_Useful fiction.pdf	319	yes	no	0	
Jensen_The rise of an African-American Left.pdf	571	yes	no	0	
Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California.pdf	188	yes	no	0	
Koh - 2008 - Essays on stock options expensing and stock option.pdf	189	yes	no	0	
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University.pdf	171	yes	no	0	
NAYLOR_Arthur E.pdf	266	yes	no	0	
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign.pdf	200	yes	no	0	
PRICE_A History of the American College Personnel Association.pdf	172	yes	no	0	
Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967.pdf	261	yes	no	0	
Ries_Marshall_1955_web.pdf	107	yes	no	1	p1
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy.pdf	200	yes	no	0	
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	300	yes	no	167	p1;p3;p4
Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California.pdf	165	yes	no	0	
TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign.pdf	237	yes	no	0	
TROTMAN - 1976 - Race, Iq, and the Middle-Class..pdf	119	yes	no	0	
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University.pdf	413	yes	no	0	
Wu - 2003 - Employee stock option design and valuation.pdf	110	yes	no	0	
Zarifa_2008_Emerging Forms of Stratification in Higher Education_.pdf	258	yes	no	0	
Zheng - 2003 - Six -month -one -day employee stock option reprici.pdf	76	yes	no	0	
