file	page	gutters	wideGutters	narrowGutters	widestFrac	band	lines	crossing	crossWide	crossNarrow	share
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	2	2	0	2	0.0215	narrow	97	0	0	0	0.00%
Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	2	1	0	1	0.0274	narrow	110	0	0	0	0.00%
Robin_Stephens_1996_Against the Grain_Social Text.pdf	17	1	1	0	0.0381	wide	63	0	0	0	0.00%
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	2	1	1	0	0.0474	wide	115	1	1	0	0.87%
1947_Corporation Tax Study Due By House Body.pdf	3	1	0	1	0.0218	narrow	52	0	0	0	0.00%
1947_Corporation Tax Study Due By House Body.pdf	4	1	1	0	0.3242	wide	6	0	0	0	0.00%
Bullitt_1959_The Future American Class System_Horizon.pdf	5	1	0	1	0.0196	narrow	95	0	0	0	0.00%
Davis_2005_Optimism of the Will_Nation.pdf	2	2	0	2	0.0271	narrow	166	0	0	0	0.00%
Davis_2005_Optimism of the Will_Nation.pdf	3	1	0	1	0.0238	narrow	106	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	2	1	1	0	0.1022	wide	39	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	7	1	1	0	0.0389	wide	63	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	13	1	1	0	0.0394	wide	67	0	0	0	0.00%
Lemann, Nicholas_1977_Success In America_Washington Monthly.pdf	3	1	0	1	0.0204	narrow	126	2	0	2	1.59%
Part Two.pdf	18	1	0	1	0.0196	narrow	39	0	0	0	0.00%
Part Two.pdf	35	1	0	1	0.0251	narrow	39	0	0	0	0.00%
Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	2	1	0	1	0.0317	narrow	156	0	0	0	0.00%
Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	3	2	0	2	0.0327	narrow	164	0	0	0	0.00%
Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	4	2	2	0	0.0386	wide	164	0	0	0	0.00%
AI 2027.pdf	2	1	1	0	0.0452	wide	54	0	0	0	0.00%
AI 2027.pdf	36	1	1	0	0.0435	wide	58	0	0	0	0.00%
w7787 2.pdf	30	7	5	2	0.0743	wide	4	1	1	1	25.00%
w7787.pdf	30	7	5	2	0.0743	wide	4	1	1	1	25.00%
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf	2	1	1	0	0.0539	wide	42	0	0	0	0.00%
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf	132	1	1	0	0.0420	wide	39	0	0	0	0.00%
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State.pdf	398	1	1	0	0.1908	wide	18	0	0	0	0.00%
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa.pdf	159	1	1	0	0.1664	wide	22	0	0	0	0.00%
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas.pdf	2	1	1	0	0.0901	wide	4	0	0	0	0.00%
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf	2	3	1	2	0.0375	wide	11	0	0	0	0.00%
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf	212	3	1	2	0.0388	wide	20	0	0	0	0.00%
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling.pdf	328	1	0	1	0.0303	narrow	23	0	0	0	0.00%
Koh - 2008 - Essays on stock options expensing and stock option.pdf	189	1	1	0	0.0375	wide	18	0	0	0	0.00%
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University.pdf	2	1	1	0	0.1037	wide	10	0	0	0	0.00%
NAYLOR_Arthur E.pdf	134	1	1	0	0.0350	wide	35	0	0	0	0.00%
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign.pdf	2	1	0	1	0.0265	narrow	8	0	0	0	0.00%
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign.pdf	200	1	0	1	0.0313	narrow	7	0	0	0	0.00%
PRICE_A History of the American College Personnel Association.pdf	2	1	1	0	0.0389	wide	11	0	0	0	0.00%
Ries_Marshall_1955_web.pdf	2	2	2	0	0.1983	wide	17	0	0	0	0.00%
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy.pdf	101	1	1	0	0.0468	wide	24	0	0	0	0.00%
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy.pdf	200	1	1	0	0.0350	wide	18	0	0	0	0.00%
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University.pdf	207	1	0	1	0.0204	narrow	37	1	0	1	2.70%
